school,OFF_ALL_raw,OFF_ALL_adj,DEF_ALL_raw,DEF_ALL_adj,OFF_PASS_raw,OFF_PASS_adj,DEF_PASS_raw,DEF_PASS_adj,OFF_RUSH_raw,OFF_RUSH_adj,DEF_RUSH_raw,DEF_RUSH_adj
Ole Miss,0.3707293615423068,0.27935382520564506,-0.02143635645464898,0.05176462710230245,0.46472135417525134,0.3238056135747053,0.054291193462515444,0.14766144284836386,0.33329166931881804,0.25238975833272204,-0.07043533212151296,0.03832765314114253
Oregon,0.30395440327372225,0.2594209876525647,0.15794155878937682,0.1458961531659944,0.38161960966558883,0.2971184687667608,0.1462242427269996,0.19148192078432286,0.25250597151957516,0.21453340458503217,0.23619098025773497,0.17832798719755638
Oregon State,0.1846451749517068,0.15684007912810063,0.23849049634831715,0.22009459564976747,0.06669023140474219,0.16691850482531595,0.18288000706558089,0.22289393389895945,0.30767204814251287,0.21331992683628861,0.36360962113205547,0.264240168676591
Penn State,0.3545019688481875,0.2659610853354519,0.044043962124746185,0.10302307017115371,0.5801398633839636,0.37481655028886085,0.1651207676528121,0.20283251565314825,0.20128120063983043,0.1655041109107651,-0.048001646482242095,0.07657516035250064
Pittsburgh,0.25216668218185184,0.1976460852762858,0.11143025024947277,0.1340891573903399,0.3092386599871423,0.25684317210989477,0.2778229862754832,0.24858152925576074,0.242552791213501,0.17751059644297906,-0.02693198774268942,0.07783244173594431
Purdue,0.04165245244250707,0.12507499180292425,0.4263243872478999,0.3084325106357899,-0.06002919984769829,0.15270949479855656,0.4710401182586258,0.32115882449341504,0.20545195402759361,0.17615840378607328,0.4014271912199248,0.2679408578458825
Rice,0.11393980636820243,0.14462429973958174,0.19387617040225502,0.1974791378607645,0.06481341937330316,0.1630284695863682,0.15523267519681616,0.22574292570081056,0.18968960944994137,0.17154880770360287,0.2175569865706927,0.17612110822633592
Rutgers,0.0808286018054355,0.13763571688085255,0.23267681303608212,0.21152331268500418,0.09119249282614166,0.19660059427235171,0.12281006935709829,0.19514770490399957,0.10403602662965983,0.12677912033085872,0.3589934195127233,0.25540569036726757
Sam Houston,0.18155806150373044,0.17170131872492794,0.20636187127439193,0.2094023042555217,0.23760586455691582,0.23509136478698728,0.14912889808095073,0.21110154572412432,0.18404350572966902,0.16998541449934226,0.31983318939472954,0.22997349639481696
San Diego State,0.09771197324690596,0.12140654269464908,0.19147356475286584,0.20466360393223665,0.25730186845758196,0.24610768435750943,0.1382081704609521,0.2136286002732236,-0.02323798166647888,0.06019801372849738,0.24638027201962598,0.1992216417641834
San José State,0.24874621261020066,0.20313534608500514,0.15237731809640262,0.1803239779842317,0.4154320615368533,0.3184229466038727,0.2398908575786162,0.24857443469927148,-0.018156121938810124,0.07603635029366393,0.16677772273911057,0.16905129551481352
SMU,0.20953370194393567,0.19311075858158655,0.06408003557562074,0.09989275239516722,0.3490536214902634,0.28248363036260515,0.24172179248763162,0.2254461957368205,0.1485681370280799,0.15396990237151195,-0.020543956099638112,0.08140998940862915
South Alabama,0.3187512081505231,0.23577986857723618,0.25276205577908356,0.211705587135284,0.3676871671662032,0.2757069972838667,0.34080999666345413,0.2730695288767069,0.2899341042033432,0.21771669668066407,0.18273007974880368,0.16224747382473853
South Carolina,0.13670422622502237,0.16979596130596944,0.06070335240418163,0.09558935349125296,0.15603806003971377,0.20587430831262044,-0.018866289347126173,0.12301096508064518,0.19304565197592524,0.20048195774944932,0.16597283851240002,0.14623424742792682
Southern Miss,0.04616780244308861,0.1146367045256635,0.3496391443264586,0.2844461089320447,-0.000664733652749425,0.15014348259882615,0.44444057423454325,0.3180377732588435,0.1801662884087432,0.16174828187165652,0.30891163151305034,0.23828225298413094
South Florida,0.04041291800096364,0.10943601434996429,0.3123074963063476,0.2245828147887828,0.017526205824326617,0.15168164599353423,0.5139463671622904,0.34088587295995926,0.1298533721316149,0.15057291675341966,0.13314076045742632,0.12442239242091842
Stanford,0.027908655714435838,0.10027310259014587,0.28346452473136396,0.20583400936909108,-0.0429206576922553,0.12930147099604444,0.3839357687993004,0.2779943262770678,0.12447613617359242,0.1424237116153136,0.17945122624635496,0.14847790085069312
Syracuse,0.26859244497371704,0.23097403850655857,0.2737549732191994,0.24119230613457893,0.3991627788701052,0.3134599075976408,0.41489892690234886,0.32431572855433216,0.039039805784392145,0.1138896167079341,0.1542369025231572,0.15569618334506283
TCU,0.24262697599146507,0.22889380561002468,0.22685516166538128,0.2194908437480514,0.44104074672078847,0.33414039563104364,0.2647542628333254,0.26917010305646233,0.012586380591867301,0.11326982819194818,0.23046900424768313,0.1835029393918388
Temple,0.01459723421318914,0.08352506722573827,0.19499016135784253,0.16984878924396565,0.14290437633188138,0.2050035109479395,0.2453387145304511,0.24216152855907597,-0.010053082736168159,0.07506199890501984,0.2118800224901227,0.16476249572562396
Tennessee,0.2207541537539683,0.20195829645041535,-0.022414758781551598,0.08389448110299118,0.2584233719147659,0.2454904290866863,0.09774395717954201,0.19537110019733742,0.22130134638813564,0.18789914472349015,-0.09832400336552856,0.04899813031700381
Texas,0.3552290623972118,0.28592942217888395,-0.07084959869677723,0.05807084648625396,0.5718992694183587,0.37950070872950725,-0.07037651826527683,0.12051888263492747,0.20534331884624502,0.18551839132314846,-0.03690679055267944,0.08319072488088348
Texas A&M,0.22135615602792058,0.21536221872534592,0.1122991266357561,0.13920307749091843,0.27381462030388,0.2629606187683677,0.14891327451280503,0.21136340355703365,0.19316891625416638,0.1806599526143274,0.06523889648493411,0.10494554651362713
Texas State,0.2902508019129898,0.22863173567040707,0.09488437967828194,0.14921167972041288,0.4969142898228359,0.33408939606114985,0.1735534830524866,0.21960918957892997,0.14555001702285716,0.14989371131829474,0.17025429933102335,0.17749803484726934
Texas Tech,0.24429623639487955,0.21443638643473917,0.1126484400496722,0.12245865020169441,0.2934684299569152,0.26388700055361697,0.06800511743198064,0.15549483810922668,0.20848722850793816,0.1788226204134451,0.17533817738084922,0.16087647845856062
Toledo,0.10083141243465084,0.12482580308783289,0.12159290078870799,0.16635211153309662,0.35061357506717256,0.2860776074141717,0.19601397857738548,0.23391034882938766,-0.10369172930518747,0.03420864308016908,0.038080546541506166,0.11778456542838185
Troy,0.12754907194794946,0.15552237040997263,0.23446583783734723,0.211169282305114,0.2616749869426628,0.2531287566782683,0.3349795033493389,0.2766958641824098,0.1270223839924659,0.1287157652760269,0.18491351966348862,0.1740187593106119
Tulane,0.300379977046611,0.24132191750124415,0.08949436207216328,0.12913081351497444,0.5919443884465975,0.3580822910875843,0.05315897170855029,0.1703507509119978,0.1768955453862633,0.16902935899122312,0.16712504140565929,0.15486820302972587
Tulsa,0.04944373000354447,0.09133799834745189,0.36501593120662124,0.2779326662257967,-0.0026487022504886504,0.12656957862609794,0.6134706796048915,0.37489229588038675,0.11871208939468987,0.13629963187253197,0.18593621611749528,0.17405804079653028
UAB,0.07056408433294345,0.14039041478345268,0.36302218043804074,0.24914206247822518,-0.006667053281668051,0.15767678968023557,0.36448017228397733,0.26414228926833255,0.18537088567381932,0.17274100437100132,0.3667889100175375,0.2434485373175931
UCF,0.2034899643482822,0.1904908687647967,0.20321368068225404,0.18290261028272314,0.1066727402078405,0.19284988884665422,0.3950980034151738,0.29519161444462927,0.3583718579816855,0.2505752829553527,-0.031569370379084756,0.07824606610573435
